,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,eval/train_f1,eval/valid_f1,eval/test_f1,eval/expert_f1,eval/train_auprc,eval/valid_auprc,eval/test_auprc,eval/expert_auprc,eval/train_r_precision,eval/valid_r_precision,eval/test_r_precision,eval/expert_r_precision,_timestamp
98,iterate_loose-naive,valid_f1,0.1317326293057371,0.3985679219156136,0.4323998114312312,0.39194991874236546,0.937971905712124,0.5513968542432651,0.4736825262140822,0.4029799805143503,0.9757026314427778,0.6275554794498851,0.5771934642518438,0.6037344247742132,0.944035635280702,0.8942196644615293,0.8487261312217194,0.6316711333181921,20250409 08:24:57
102,iterate_loose-naive,valid_f1,0.21803982057020252,0.4046683729431454,0.48215831745240495,0.40109438996000785,0.8762282898437334,0.5498663409891791,0.4477222281734808,0.3979065099407344,0.9344280813549484,0.6467034769157496,0.5654277801329379,0.6298707822395803,0.8776672056568945,0.8823786424116838,0.8228850390859404,0.618350147302753,20250409 09:36:12
106,cnc_highlighter_inference,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,0.15151690114982247,0.17489680448924796,0.14564317206125493,0.1340227869770754,0.4267019032362062,0.4443769830251284,0.3709777994396634,0.4585581085366948,0.391494834257951,0.4308146052435859,0.474526830033265,0.2735487788654572,20250409 10:44:29
107,bert_inference,valid_f1,0.3558312322292626,0.3470548180204287,0.3430597974159725,0.35283021232612183,0.34443067110531705,0.364527269117149,0.3197491548647614,0.2881717737346729,0.37295260861186286,0.3770806977797654,0.31227550150521105,0.39958722806195335,0.803456811525627,0.8514604604384519,0.8496578027970554,0.6126479051776542,20250409 10:52:57
108,cnc_train_strict,valid_f1,0.16174079174321032,0.4628668579788788,0.5322814055078957,0.3156720540800547,0.32708174824810293,0.4015736177800464,0.3098559195333651,0.3054115831371981,0.7833829221092821,0.571797788710195,0.5060251051944225,0.5872739240604418,0.35186177321683837,0.5180410949441812,0.4132202912286051,0.4088785212662951,20250409 11:03:34
111,cnc_train_naive,valid_f1,0.22061562263286763,0.45471364790724417,0.5335036456307996,0.4570372884970664,0.7015499318310917,0.5456584629442609,0.42936257279721574,0.32114644458445424,0.8899588306150704,0.7036860712128888,0.5782569939559983,0.5991350456239313,0.7394224769010064,0.7213752805351415,0.6326390236948366,0.4667055822808156,20250409 11:40:35
114,cnc_train_loose,valid_f1,0.16587547544082662,0.4251934269852743,0.48643433273481146,0.4661372926713397,0.9154169921368128,0.5356192772197644,0.4534824891607091,0.3680228017333518,0.9457167289840503,0.6194980134730256,0.5471663164586422,0.5912513985294943,0.9360734182540236,0.9002156952142559,0.8768284313725491,0.6189877551020408,20250409 12:38:48
117,cnc_train_complex,valid_f1,0.25621796745708053,0.5665836647930718,0.6122703093392261,0.3831625527203644,0.26896387621310747,0.2875138925674586,0.23136187307931985,0.23385924023970164,0.7560055228248794,0.5535053532437672,0.5011882395266237,0.5901938891489826,0.3632797297193594,0.3626627590801265,0.3196828575227382,0.29758128406841583,20250409 13:28:53
120,cnc_train_harsh,valid_f1,0.0921714414137212,0.6053278245664767,0.6646507674580125,0.46319510211492976,0.35383133681875834,0.24242098462670936,0.16210064434780133,0.13946306085532248,0.8936853721636627,0.5666662437131279,0.5227742972612265,0.5838413871573472,0.3737329318697535,0.25028906691291447,0.18481584496709097,0.16790901503761013,20250409 14:07:35
123,strict,valid_f1,0.0030066967336340026,0.15101078439763208,0.14651227147033324,0.30727957970656733,0.4218942189421894,0.4527014378076812,0.3221869644397046,0.3405158256457558,0.9988615664845172,0.8199360658175939,0.8485380068710088,0.6749836265946135,0.4225092250922509,0.49204555376711584,0.3558004979769686,0.47334973948702286,20250425 07:03:50
126,naive,valid_f1,0.1488222441710255,0.4615787934813004,0.4844699565324628,0.4285796567198348,0.7650953125043894,0.5589754878566192,0.4585764839181971,0.3653630290793128,0.9534488476228524,0.7266874934541037,0.6147345253295687,0.6649986053547216,0.7960118911971161,0.738143941936376,0.6603677706885998,0.5075645399669504,20250425 08:50:45
